market_name,player_name,most_votes_price
Adelaide Most Votes,Jordan Dawson,1.15
Adelaide Most Votes,Rory Laird,6.0
Adelaide Most Votes,Taylor Walker,9.0
Adelaide Most Votes,Izak Rankine,81.0
Adelaide Most Votes,Ben Keays,81.0
Adelaide Most Votes,Matt Crouch,151.0
Adelaide Most Votes,Josh Rachele,151.0
Adelaide Most Votes,Darcy Fogarty,151.0
Adelaide Most Votes,Mitch Hinge,151.0
Brisbane Most Votes,Josh Dunkley,1.5
Brisbane Most Votes,Joe Daniher,4.5
Brisbane Most Votes,Charlie Cameron,8.0
Brisbane Most Votes,Hugh McCluggage,13.0
Brisbane Most Votes,Will Ashcroft,18.0
Brisbane Most Votes,Harris Andrews,101.0
Brisbane Most Votes,Oscar McInerney,151.0
Brisbane Most Votes,Zac Bailey,151.0
Brisbane Most Votes,Eric Hipwood,151.0
Brisbane Most Votes,Callum Ah Chee,151.0
Brisbane Most Votes,Cam Rayner,151.0
Brisbane Most Votes,Dayne Zorko,151.0
Brisbane Most Votes,Quote Others,151.0
Brisbane Most Votes,Jack Gunston,151.0
Carlton Most Votes,Charlie Curnow,1.9
Carlton Most Votes,Patrick Cripps,2.0
Carlton Most Votes,Adam Cerra,9.0
Carlton Most Votes,Sam Docherty,41.0
Carlton Most Votes,Sam Walsh,67.0
Carlton Most Votes,Blake Acres,101.0
Carlton Most Votes,Matthew Kennedy,151.0
Carlton Most Votes,Jacob Weitering,151.0
Carlton Most Votes,George Hewett,151.0
Collingwood Most Votes,Quote Others,1.01
Collingwood Most Votes,Jordan De Goey,1.2
Collingwood Most Votes,Josh Daicos,4.5
Collingwood Most Votes,Tom Mitchell,26.0
Collingwood Most Votes,Scott Pendlebury,81.0
Collingwood Most Votes,Taylor Adams,101.0
Collingwood Most Votes,Darcy Moore,101.0
Collingwood Most Votes,Isaac Quaynor,151.0
Collingwood Most Votes,Brody Mihocek,151.0
Collingwood Most Votes,Darcy Cameron,151.0
Collingwood Most Votes,Steele Sidebottom,151.0
Collingwood Most Votes,Mason Cox,151.0
Collingwood Most Votes,Jamie Elliott,151.0
Collingwood Most Votes,John Noble,151.0
Collingwood Most Votes,Jack Ginnivan,151.0
Essendon Most Votes,Zach Merrett,1.1
Essendon Most Votes,Darcy Parish,7.0
Essendon Most Votes,Nic Martin,16.0
Essendon Most Votes,Kyle Langford,34.0
Essendon Most Votes,Mason Redman,101.0
Essendon Most Votes,Archie Perkins,151.0
Essendon Most Votes,Jordan Ridley,151.0
Essendon Most Votes,Jake Stringer,151.0
Essendon Most Votes,Dyson Heppell,151.0
Essendon Most Votes,Andrew McGrath,151.0
Fremantle Most Votes,Caleb Serong,1.08
Fremantle Most Votes,Andrew Brayshaw,6.0
Fremantle Most Votes,Luke Jackson,21.0
Fremantle Most Votes,Luke Ryan,126.0
Fremantle Most Votes,Will Brodie,151.0
Fremantle Most Votes,Sean Darcy,151.0
Fremantle Most Votes,Nat Fyfe,151.0
Fremantle Most Votes,Michael Walters,151.0
Fremantle Most Votes,Matt Taberner,151.0
Fremantle Most Votes,Jaeger OMeara,151.0
Fremantle Most Votes,Hayden Young,151.0
Geelong Most Votes,Jeremy Cameron,1.4
Geelong Most Votes,Tom Stewart,5.5
Geelong Most Votes,Patrick Dangerfield,5.5
Geelong Most Votes,Gryan Miers,21.0
Geelong Most Votes,Tom Hawkins,34.0
Geelong Most Votes,Tom Atkins,51.0
Geelong Most Votes,Mitch Duncan,81.0
